Date,Product_ID,Product_Name,Store_ID,Category,Units_Sold,Selling_Price,Discount,Promotion,Holiday_Indicator,Temperature,Day_of_Week,Month,Year,Previous_Sales,Sales
2022-05-14,1052,Product_46,10,Home,360,47.0,19.2,Yes,No,38.1,5,5,2022,291,13671.36
2025-03-06,1026,Product_40,8,Toys,218,258.21,2.5,Yes,Yes,35.1,3,3,2025,236,54882.54
2024-09-08,1022,Product_55,14,Home,52,228.12,10.3,No,No,9.4,6,9,2024,53,10640.43
2023-10-21,1032,Product_57,11,Clothing,337,376.9,32.2,No,No,-4.1,5,10,2023,392,86116.37
2023-10-12,1059,Product_42,1,Clothing,144,234.98,30.1,No,No,22.2,3,10,2023,171,23652.15
2025-07-11,1024,Product_22,6,Grocery,251,175.19,35.0,Yes,No,14.7,4,7,2025,127,28582.25
2022-05-09,1091,Product_36,5,Grocery,428,134.52,24.1,No,No,28.7,0,5,2022,393,43699.09
2024-11-12,1047,Product_26,9,Home,108,142.68,16.9,No,No,18.6,1,11,2024,107,12805.24
2022-10-30,1086,Product_38,4,Electronics,314,464.28,17.1,No,No,-1.6,6,10,2022,344,120854.87
2022-05-22,1068,Product_48,14,Electronics,254,86.71,7.8,Yes,No,6.0,6,5,2022,242,20306.44
2024-02-29,1033,Product_22,5,Grocery,664,494.15,26.0,Yes,No,34.7,3,2,2024,401,242805.54
2026-01-03,1022,Product_30,8,Home,58,166.83,23.4,No,Yes,-3.3,5,1,2026,34,7411.92
2025-01-08,1074,Product_3,2,Home,321,48.75,6.2,No,No,28.2,2,1,2025,389,14678.53
2025-02-15,1033,Product_44,13,Clothing,123,128.1,35.4,No,No,8.1,5,2,2025,122,10178.57
2024-12-12,1024,Product_29,13,Clothing,357,33.92,14.7,No,No,15.4,3,12,2024,436,10329.35
2025-03-25,1093,Product_28,12,Electronics,178,396.06,2.0,No,No,18.9,1,3,2025,183,69088.71
2024-02-09,1048,Product_32,5,Grocery,103,258.71,13.1,No,No,6.3,4,2,2024,13,23156.36
2022-07-12,1004,Product_13,1,Electronics,309,171.81,34.8,No,No,24.3,1,7,2022,248,34614.22
2025-06-13,1049,Product_36,10,Home,75,332.71,36.7,No,No,26.2,4,6,2025,36,15795.41
2023-11-07,1046,Product_44,7,Home,172,317.17,19.6,No,No,-1.2,1,11,2023,142,43860.8
2024-01-21,1086,Product_21,14,Grocery,490,470.24,38.3,No,No,11.8,6,1,2024,361,142167.66
2023-07-11,1071,Product_8,10,Grocery,421,480.82,35.0,No,No,28.5,1,7,2023,284,131576.39
2022-10-01,1019,Product_23,8,Grocery,497,341.94,33.0,No,No,27.5,5,10,2022,357,113862.6
2025-10-22,1015,Product_12,14,Toys,327,409.82,34.4,No,No,19.5,2,10,2025,440,87911.31
2025-03-18,1060,Product_23,12,Clothing,195,397.25,15.3,No,No,30.0,1,3,2025,239,65611.8
2024-08-23,1004,Product_37,7,Home,235,248.2,30.3,No,No,-0.2,4,8,2024,276,40653.92
2023-08-27,1031,Product_7,1,Clothing,46,353.71,23.1,No,No,0.3,6,8,2023,38,12512.14
2025-05-19,1013,Product_45,2,Home,138,43.74,28.8,No,No,24.6,0,5,2025,150,4297.72
2024-03-29,1002,Product_14,7,Clothing,235,380.22,7.1,No,No,26.2,4,3,2024,364,83007.73
2023-10-28,1091,Product_53,8,Grocery,57,481.11,29.3,No,No,31.7,5,10,2023,40,19388.25
2023-11-07,1008,Product_44,1,Toys,146,47.06,38.3,No,No,3.1,1,11,2023,186,4239.26
2022-12-07,1000,Product_17,2,Home,66,418.88,12.1,No,No,18.3,2,12,2022,76,24300.9
2022-05-19,1093,Product_34,10,Home,437,466.83,39.4,No,No,24.7,3,5,2022,430,123626.85
2024-04-11,1018,Product_7,11,Toys,249,116.96,15.1,Yes,No,5.1,3,4,2024,284,24725.46
2025-08-24,1081,Product_6,1,Grocery,467,264.78,8.0,No,Yes,18.3,6,8,2025,325,113760.08
2022-04-06,1003,Product_57,8,Electronics,301,464.29,4.5,No,No,23.7,2,4,2022,345,133462.48
2025-07-11,1015,Product_48,2,Clothing,102,480.31,31.4,No,No,4.7,4,7,2025,119,33608.25
2025-05-26,1011,Product_10,11,Grocery,95,68.3,22.2,No,No,11.9,0,5,2025,34,5048.05
2023-02-20,1070,Product_17,12,Clothing,148,177.76,12.3,No,No,4.7,0,2,2023,204,23072.54
2024-08-05,1062,Product_12,13,Grocery,128,350.58,24.3,No,No,35.6,0,8,2024,100,33969.8
